[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css
